user_id,event_date,event_type,channel
U00000,2025-03-07,search,BSP
U00000,2025-03-07,search,BSP
U00000,2025-03-03,booking_start,BSP
U00000,2025-02-27,search,BSP
U00000,2025-03-06,purchase,BSP
U00000,2025-03-05,search,BSP
U00000,2025-03-01,fare_click,BSP
U00000,2025-03-03,purchase,BSP
U00000,2025-03-15,search,BSP
U00000,2025-03-11,search,BSP
U00000,2025-03-15,search,BSP
U00000,2025-03-20,fare_click,BSP
U00000,2025-03-11,fare_click,BSP
U00000,2025-03-12,booking_start,BSP
U00000,2025-03-09,purchase,BSP
U00000,2025-02-23,search,BSP
U00001,2025-01-22,fare_click,BSP
U00001,2025-01-27,fare_click,BSP
U00001,2025-02-11,purchase,BSP
U00001,2025-01-30,fare_click,BSP
U00001,2025-01-17,search,BSP
U00001,2025-01-28,search,BSP
U00001,2025-02-06,purchase,BSP
U00002,2025-04-07,purchase,API
U00002,2025-04-06,search,API
U00002,2025-03-18,search,API
U00002,2025-04-04,search,API
U00002,2025-04-04,fare_click,API
U00002,2025-03-25,fare_click,API
U00002,2025-04-04,search,API
U00002,2025-04-02,search,API
U00002,2025-04-04,search,API
U00003,2025-03-19,search,WEB
U00003,2025-03-16,search,WEB
U00003,2025-03-11,search,WEB
U00003,2025-03-17,fare_click,WEB
U00003,2025-03-07,search,WEB
U00003,2025-03-22,fare_click,WEB
U00003,2025-03-22,fare_click,WEB
U00003,2025-03-17,search,WEB
U00003,2025-03-18,search,WEB
U00003,2025-03-06,purchase,WEB
U00003,2025-03-29,fare_click,WEB
U00003,2025-03-10,search,WEB
U00003,2025-03-27,search,WEB
U00003,2025-03-07,purchase,WEB
U00003,2025-03-30,fare_click,WEB
U00003,2025-03-14,search,WEB
U00004,2025-01-28,search,API
U00004,2025-02-10,search,API
U00004,2025-02-13,search,API
U00004,2025-02-06,search,API
U00004,2025-02-13,fare_click,API
U00004,2025-02-19,fare_click,API
U00005,2025-04-05,search,MOB
U00005,2025-04-22,fare_click,MOB
U00005,2025-04-17,search,MOB
U00005,2025-04-21,booking_start,MOB
U00005,2025-04-11,fare_click,MOB
U00005,2025-04-14,purchase,MOB
U00005,2025-03-24,search,MOB
U00005,2025-03-24,search,MOB
U00005,2025-04-04,booking_start,MOB
U00005,2025-04-10,search,MOB
U00005,2025-04-21,fare_click,MOB
U00005,2025-04-13,search,MOB
U00005,2025-04-01,search,MOB
U00006,2025-04-06,booking_start,MOB
U00006,2025-04-21,search,MOB
U00006,2025-04-24,search,MOB
U00006,2025-04-25,booking_start,MOB
U00006,2025-04-11,search,MOB
U00006,2025-04-04,fare_click,MOB
U00006,2025-04-05,search,MOB
U00006,2025-04-13,search,MOB
U00006,2025-03-30,fare_click,MOB
U00006,2025-04-01,search,MOB
U00006,2025-04-16,booking_start,MOB
U00007,2025-03-17,booking_start,WEB
U00007,2025-03-19,purchase,WEB
U00007,2025-03-25,search,WEB
U00007,2025-03-24,booking_start,WEB
U00007,2025-03-31,search,WEB
U00007,2025-03-24,search,WEB
U00007,2025-03-26,search,WEB
U00007,2025-04-13,search,WEB
U00007,2025-03-19,fare_click,WEB
U00007,2025-03-27,search,WEB
U00007,2025-04-12,booking_start,WEB
U00007,2025-04-04,fare_click,WEB
U00007,2025-04-06,search,WEB
U00007,2025-04-07,fare_click,WEB
U00007,2025-03-22,search,WEB
U00007,2025-04-13,search,WEB
U00007,2025-04-03,booking_start,WEB
U00007,2025-04-09,search,WEB
U00007,2025-04-04,search,WEB
U00008,2025-03-28,fare_click,WEB
U00008,2025-03-28,search,WEB
U00008,2025-04-12,search,WEB
U00008,2025-03-21,search,WEB
U00008,2025-03-18,search,WEB
U00009,2025-04-17,fare_click,MOB
U00009,2025-04-16,search,MOB
U00009,2025-04-25,search,MOB
U00009,2025-04-12,purchase,MOB
U00009,2025-04-21,booking_start,MOB
U00009,2025-04-12,booking_start,MOB
U00009,2025-04-20,booking_start,MOB
U00009,2025-04-11,search,MOB
U00009,2025-04-03,fare_click,MOB
U00009,2025-04-27,search,MOB
U00010,2025-02-08,search,WEB
U00010,2025-01-31,booking_start,WEB
U00010,2025-02-10,search,WEB
U00010,2025-02-12,search,WEB
U00010,2025-02-09,search,WEB
U00010,2025-02-05,booking_start,WEB
U00010,2025-02-02,booking_start,WEB
U00010,2025-02-17,purchase,WEB
U00010,2025-02-10,purchase,WEB
U00010,2025-02-21,search,WEB
U00010,2025-02-15,fare_click,WEB
U00010,2025-02-16,search,WEB
U00010,2025-02-11,search,WEB
U00011,2025-01-05,search,BSP
U00011,2025-01-31,search,BSP
U00011,2025-01-28,search,BSP
U00011,2025-01-24,fare_click,BSP
U00011,2025-02-01,purchase,BSP
U00011,2025-01-21,purchase,BSP
U00011,2025-01-24,booking_start,BSP
U00011,2025-01-11,purchase,BSP
U00011,2025-01-31,fare_click,BSP
U00011,2025-01-26,fare_click,BSP
U00011,2025-01-05,booking_start,BSP
U00011,2025-01-24,search,BSP
U00011,2025-01-09,fare_click,BSP
U00011,2025-01-29,search,BSP
U00011,2025-01-09,search,BSP
U00011,2025-01-11,booking_start,BSP
U00012,2025-02-11,fare_click,BSP
U00012,2025-01-25,fare_click,BSP
U00012,2025-02-17,fare_click,BSP
U00012,2025-01-24,booking_start,BSP
U00012,2025-02-06,booking_start,BSP
U00012,2025-02-10,purchase,BSP
U00012,2025-01-24,booking_start,BSP
U00012,2025-02-06,fare_click,BSP
U00012,2025-02-07,search,BSP
U00012,2025-02-10,search,BSP
U00012,2025-02-08,search,BSP
U00012,2025-02-08,search,BSP
U00012,2025-01-27,search,BSP
U00012,2025-02-08,fare_click,BSP
U00013,2025-03-08,search,WEB
U00013,2025-03-08,booking_start,WEB
U00013,2025-02-23,booking_start,WEB
U00013,2025-03-22,search,WEB
U00013,2025-03-23,purchase,WEB
U00013,2025-03-06,purchase,WEB
U00013,2025-03-23,search,WEB
U00013,2025-03-07,search,WEB
U00013,2025-02-23,search,WEB
U00013,2025-02-28,booking_start,WEB
U00013,2025-03-22,search,WEB
U00013,2025-03-07,purchase,WEB
U00014,2025-01-03,search,MOB
U00014,2025-01-15,booking_start,MOB
U00014,2025-01-31,search,MOB
U00014,2025-01-22,search,MOB
U00014,2025-01-23,search,MOB
U00014,2025-01-17,booking_start,MOB
U00014,2025-01-18,search,MOB
U00014,2025-01-17,search,MOB
U00014,2025-01-03,purchase,MOB
U00014,2025-01-08,search,MOB
U00015,2025-04-14,purchase,API
U00015,2025-04-02,search,API
U00015,2025-04-13,search,API
U00015,2025-04-02,search,API
U00015,2025-04-02,booking_start,API
U00015,2025-03-30,search,API
U00015,2025-04-01,fare_click,API
U00015,2025-04-19,fare_click,API
U00015,2025-04-20,booking_start,API
U00015,2025-04-24,search,API
U00016,2025-02-05,purchase,WEB
U00016,2025-01-30,fare_click,WEB
U00016,2025-02-02,fare_click,WEB
U00016,2025-02-16,search,WEB
U00016,2025-02-25,fare_click,WEB
U00016,2025-02-26,search,WEB
U00017,2025-02-10,purchase,WEB
U00017,2025-03-08,search,WEB
U00017,2025-03-01,booking_start,WEB
U00017,2025-03-02,search,WEB
U00017,2025-02-19,search,WEB
U00017,2025-02-28,search,WEB
U00017,2025-02-11,fare_click,WEB
U00017,2025-03-07,fare_click,WEB
U00017,2025-02-21,booking_start,WEB
U00017,2025-02-28,search,WEB
U00017,2025-03-04,fare_click,WEB
U00018,2025-01-04,booking_start,API
U00018,2025-01-19,purchase,API
U00018,2025-01-09,search,API
U00018,2025-01-27,fare_click,API
U00018,2025-01-15,search,API
U00018,2025-01-19,search,API
U00018,2025-01-22,fare_click,API
U00018,2025-01-10,search,API
U00019,2025-03-14,search,WEB
U00019,2025-03-23,search,WEB
U00019,2025-03-24,booking_start,WEB
U00019,2025-03-10,purchase,WEB
